srcpos,srcwell,destpos,destwell,vol
water_plate,1,mixing_plate,1,180.0
water_plate,1,mixing_plate,1,180.0
water_plate,1,mixing_plate,1,180.0
water_plate,1,mixing_plate,1,180.0
water_plate,1,mixing_plate,1,180.0
water_plate,1,mixing_plate,1,83.51335003866211
water_plate,1,mixing_plate,2,180.0
water_plate,1,mixing_plate,2,180.0
water_plate,1,mixing_plate,2,180.0
water_plate,2,mixing_plate,2,180.0
water_plate,2,mixing_plate,2,180.0
water_plate,2,mixing_plate,2,180.0
water_plate,2,mixing_plate,2,27.144569266644794
water_plate,2,mixing_plate,3,180.0
water_plate,2,mixing_plate,3,180.0
water_plate,2,mixing_plate,3,180.0
water_plate,2,mixing_plate,3,180.0
water_plate,2,mixing_plate,3,180.0
water_plate,3,mixing_plate,3,180.0
water_plate,3,mixing_plate,3,115.0
water_plate,3,mixing_plate,4,180.0
water_plate,3,mixing_plate,4,180.0
water_plate,3,mixing_plate,4,180.0
water_plate,3,mixing_plate,4,180.0
water_plate,3,mixing_plate,4,180.0
water_plate,2,mixing_plate,4,52.44212499196283
water_plate,3,mixing_plate,5,180.0
water_plate,4,mixing_plate,5,180.0
water_plate,4,mixing_plate,5,180.0
water_plate,4,mixing_plate,5,180.0
water_plate,4,mixing_plate,5,180.0
water_plate,4,mixing_plate,5,180.0
water_plate,3,mixing_plate,5,115.0
water_plate,4,mixing_plate,6,180.0
water_plate,4,mixing_plate,6,180.0
water_plate,4,mixing_plate,6,180.0
water_plate,5,mixing_plate,6,180.0
water_plate,5,mixing_plate,6,180.0
water_plate,5,mixing_plate,6,117.32160455530436
water_plate,5,mixing_plate,7,180.0
water_plate,5,mixing_plate,7,180.0
water_plate,5,mixing_plate,7,180.0
water_plate,5,mixing_plate,7,180.0
water_plate,5,mixing_plate,7,180.0
water_plate,6,mixing_plate,7,180.0
water_plate,5,mixing_plate,7,115.0
water_plate,6,mixing_plate,8,180.0
water_plate,6,mixing_plate,8,180.0
water_plate,6,mixing_plate,8,180.0
water_plate,6,mixing_plate,8,180.0
water_plate,6,mixing_plate,8,180.0
water_plate,4,mixing_plate,8,67.47615012226458
water_plate,6,mixing_plate,9,180.0
water_plate,6,mixing_plate,9,180.0
water_plate,7,mixing_plate,9,180.0
water_plate,7,mixing_plate,9,180.0
water_plate,7,mixing_plate,9,180.0
water_plate,7,mixing_plate,9,180.0
water_plate,7,mixing_plate,9,115.0
water_plate,7,mixing_plate,10,180.0
water_plate,7,mixing_plate,10,180.0
water_plate,7,mixing_plate,10,180.0
water_plate,8,mixing_plate,10,180.0
water_plate,8,mixing_plate,10,180.0
water_plate,8,mixing_plate,10,177.74637034969396
water_plate,8,mixing_plate,11,180.0
water_plate,8,mixing_plate,11,180.0
water_plate,8,mixing_plate,11,180.0
water_plate,8,mixing_plate,11,180.0
water_plate,8,mixing_plate,11,180.0
water_plate,9,mixing_plate,11,180.0
water_plate,7,mixing_plate,11,115.0
water_plate,9,mixing_plate,12,180.0
water_plate,9,mixing_plate,12,180.0
water_plate,9,mixing_plate,12,180.0
water_plate,9,mixing_plate,12,180.0
water_plate,9,mixing_plate,12,180.0
water_plate,9,mixing_plate,12,174.73821735033334
water_plate,9,mixing_plate,13,180.0
water_plate,10,mixing_plate,13,180.0
water_plate,10,mixing_plate,13,180.0
water_plate,10,mixing_plate,13,180.0
water_plate,10,mixing_plate,13,180.0
water_plate,10,mixing_plate,13,180.0
water_plate,9,mixing_plate,13,115.0
water_plate,10,mixing_plate,14,180.0
water_plate,10,mixing_plate,14,180.0
water_plate,10,mixing_plate,14,180.0
water_plate,11,mixing_plate,14,180.0
water_plate,11,mixing_plate,14,180.0
water_plate,11,mixing_plate,14,180.0
water_plate,8,mixing_plate,14,110.48119728423626
water_plate,13,mixing_plate,15,180.0
water_plate,13,mixing_plate,15,180.0
water_plate,13,mixing_plate,15,153.20034434575234
water_plate,13,mixing_plate,16,180.0
water_plate,13,mixing_plate,16,180.0
water_plate,13,mixing_plate,16,180.0
water_plate,14,mixing_plate,16,180.0
water_plate,6,mixing_plate,16,70.76549749291553
water_plate,15,mixing_plate,17,180.0
water_plate,16,mixing_plate,17,180.0
water_plate,16,mixing_plate,17,180.0
water_plate,15,mixing_plate,17,143.3570361115202
water_plate,16,mixing_plate,18,180.0
water_plate,16,mixing_plate,18,180.0
water_plate,16,mixing_plate,18,180.0
water_plate,16,mixing_plate,18,180.0
water_plate,16,mixing_plate,18,143.34166099720892
water_plate,18,mixing_plate,19,180.0
water_plate,18,mixing_plate,19,180.0
water_plate,19,mixing_plate,19,180.0
water_plate,19,mixing_plate,19,180.0
water_plate,10,mixing_plate,19,66.53002831924914
water_plate,19,mixing_plate,20,180.0
water_plate,19,mixing_plate,20,180.0
water_plate,19,mixing_plate,20,180.0
water_plate,19,mixing_plate,20,180.0
water_plate,19,mixing_plate,20,180.0
water_plate,13,mixing_plate,20,123.35626797465056
water_plate,21,mixing_plate,21,180.0
water_plate,21,mixing_plate,21,180.0
water_plate,21,mixing_plate,21,180.0
water_plate,21,mixing_plate,21,121.97767793162836
water_plate,25,mixing_plate,22,180.0
water_plate,25,mixing_plate,22,180.0
water_plate,25,mixing_plate,22,180.0
water_plate,20,mixing_plate,22,76.14411097538448
water_plate,26,mixing_plate,23,180.0
water_plate,27,mixing_plate,23,180.0
water_plate,27,mixing_plate,23,180.0
water_plate,27,mixing_plate,23,138.58888589148933
water_plate,29,mixing_plate,24,180.0
water_plate,29,mixing_plate,24,180.0
water_plate,29,mixing_plate,24,180.0
water_plate,29,mixing_plate,24,180.0
water_plate,29,mixing_plate,24,180.0
water_plate,3,mixing_plate,24,42.457152022392734
water_plate,31,mixing_plate,25,180.0
water_plate,31,mixing_plate,25,180.0
water_plate,31,mixing_plate,25,174.45614247579658
water_plate,31,mixing_plate,26,180.0
water_plate,31,mixing_plate,26,180.0
water_plate,31,mixing_plate,26,180.0
water_plate,32,mixing_plate,26,180.0
water_plate,2,mixing_plate,26,10.525303525727509
water_plate,33,mixing_plate,27,180.0
water_plate,34,mixing_plate,27,180.0
water_plate,34,mixing_plate,27,180.0
water_plate,30,mixing_plate,27,91.12035970881743
water_plate,35,mixing_plate,28,180.0
water_plate,35,mixing_plate,28,180.0
water_plate,36,mixing_plate,28,180.0
water_plate,36,mixing_plate,28,180.0
water_plate,36,mixing_plate,28,175.27836732212722
water_plate,36,mixing_plate,29,180.0
water_plate,36,mixing_plate,29,180.0
water_plate,36,mixing_plate,29,180.0
water_plate,36,mixing_plate,29,180.0
water_plate,36,mixing_plate,29,180.0
water_plate,37,mixing_plate,29,180.0
water_plate,36,mixing_plate,29,112.23431898289164
water_plate,38,mixing_plate,30,180.0
water_plate,38,mixing_plate,30,180.0
water_plate,39,mixing_plate,30,180.0
water_plate,39,mixing_plate,30,180.0
water_plate,39,mixing_plate,30,180.0
water_plate,35,mixing_plate,30,108.25321561730175
water_plate,39,mixing_plate,31,180.0
water_plate,39,mixing_plate,31,180.0
water_plate,39,mixing_plate,31,180.0
water_plate,5,mixing_plate,31,47.42969045089308
water_plate,39,mixing_plate,32,180.0
water_plate,39,mixing_plate,32,180.0
water_plate,40,mixing_plate,32,180.0
water_plate,40,mixing_plate,32,180.0
water_plate,40,mixing_plate,32,180.0
water_plate,37,mixing_plate,32,90.5451143286407
water_plate,40,mixing_plate,33,180.0
water_plate,40,mixing_plate,33,180.0
water_plate,40,mixing_plate,33,180.0
water_plate,40,mixing_plate,33,180.0
water_plate,38,mixing_plate,33,87.20051674433944
water_plate,43,mixing_plate,34,180.0
water_plate,43,mixing_plate,34,180.0
water_plate,43,mixing_plate,34,180.0
water_plate,43,mixing_plate,34,180.0
water_plate,44,mixing_plate,34,180.0
water_plate,44,mixing_plate,34,180.0
water_plate,39,mixing_plate,34,97.88992829591393
water_plate,44,mixing_plate,35,180.0
water_plate,45,mixing_plate,35,180.0
water_plate,45,mixing_plate,35,180.0
water_plate,45,mixing_plate,35,180.0
water_plate,45,mixing_plate,35,180.0
water_plate,40,mixing_plate,35,99.87392155382508
water_plate,46,mixing_plate,36,180.0
water_plate,46,mixing_plate,36,180.0
water_plate,46,mixing_plate,36,180.0
water_plate,47,mixing_plate,36,180.0
water_plate,33,mixing_plate,36,65.96934449481864
