Line Name,Line Description,Part ID,Media
M1-R1-W1-C1-B1,"Glucose:2.8785,Na2HPO4:31.8280,NaCl:37.3632,KH2PO4:22.9086,(NH4)2SO4:19.4798,MgSO4:0.1513,CaCl2:0.0491,FeSO4:0.0110,MnCl2:0.0068,ZnSO4:0.0098,CoCl2:0.0030,CuSO4:0.0008,Na2MoO4:0.0006,",,LB
M1-R2-W9-C1-B1,"Glucose:2.8785,Na2HPO4:31.8280,NaCl:37.3632,KH2PO4:22.9086,(NH4)2SO4:19.4798,MgSO4:0.1513,CaCl2:0.0491,FeSO4:0.0110,MnCl2:0.0068,ZnSO4:0.0098,CoCl2:0.0030,CuSO4:0.0008,Na2MoO4:0.0006,",,LB
M1-R3-W17-C1-B1,"Glucose:2.8785,Na2HPO4:31.8280,NaCl:37.3632,KH2PO4:22.9086,(NH4)2SO4:19.4798,MgSO4:0.1513,CaCl2:0.0491,FeSO4:0.0110,MnCl2:0.0068,ZnSO4:0.0098,CoCl2:0.0030,CuSO4:0.0008,Na2MoO4:0.0006,",,LB
M2-R1-W2-C1-B1,"Glucose:1.8812,Na2HPO4:29.5933,NaCl:3.7465,KH2PO4:1.4207,(NH4)2SO4:13.2040,MgSO4:1.3257,CaCl2:0.1002,FeSO4:0.0025,MnCl2:0.0090,ZnSO4:0.0015,CoCl2:0.0027,CuSO4:0.0006,Na2MoO4:0.0004,",,LB
M2-R2-W10-C1-B1,"Glucose:1.8812,Na2HPO4:29.5933,NaCl:3.7465,KH2PO4:1.4207,(NH4)2SO4:13.2040,MgSO4:1.3257,CaCl2:0.1002,FeSO4:0.0025,MnCl2:0.0090,ZnSO4:0.0015,CoCl2:0.0027,CuSO4:0.0006,Na2MoO4:0.0004,",,LB
M2-R3-W18-C1-B1,"Glucose:1.8812,Na2HPO4:29.5933,NaCl:3.7465,KH2PO4:1.4207,(NH4)2SO4:13.2040,MgSO4:1.3257,CaCl2:0.1002,FeSO4:0.0025,MnCl2:0.0090,ZnSO4:0.0015,CoCl2:0.0027,CuSO4:0.0006,Na2MoO4:0.0004,",,LB
M3-R1-W3-C1-B1,"Glucose:1.3147,Na2HPO4:47.2379,NaCl:27.7312,KH2PO4:17.3398,(NH4)2SO4:7.5749,MgSO4:0.9941,CaCl2:0.0890,FeSO4:0.0142,MnCl2:0.0003,ZnSO4:0.0004,CoCl2:0.0003,CuSO4:0.0001,Na2MoO4:0.0006,",,LB
M3-R2-W11-C1-B1,"Glucose:1.3147,Na2HPO4:47.2379,NaCl:27.7312,KH2PO4:17.3398,(NH4)2SO4:7.5749,MgSO4:0.9941,CaCl2:0.0890,FeSO4:0.0142,MnCl2:0.0003,ZnSO4:0.0004,CoCl2:0.0003,CuSO4:0.0001,Na2MoO4:0.0006,",,LB
M3-R3-W19-C1-B1,"Glucose:1.3147,Na2HPO4:47.2379,NaCl:27.7312,KH2PO4:17.3398,(NH4)2SO4:7.5749,MgSO4:0.9941,CaCl2:0.0890,FeSO4:0.0142,MnCl2:0.0003,ZnSO4:0.0004,CoCl2:0.0003,CuSO4:0.0001,Na2MoO4:0.0006,",,LB
M4-R1-W4-C1-B1,"Glucose:0.3071,Na2HPO4:40.8515,NaCl:8.5774,KH2PO4:13.6785,(NH4)2SO4:17.4959,MgSO4:1.6416,CaCl2:0.1522,FeSO4:0.0168,MnCl2:0.0078,ZnSO4:0.0068,CoCl2:0.0009,CuSO4:0.0007,Na2MoO4:0.0008,",,LB
M4-R2-W12-C1-B1,"Glucose:0.3071,Na2HPO4:40.8515,NaCl:8.5774,KH2PO4:13.6785,(NH4)2SO4:17.4959,MgSO4:1.6416,CaCl2:0.1522,FeSO4:0.0168,MnCl2:0.0078,ZnSO4:0.0068,CoCl2:0.0009,CuSO4:0.0007,Na2MoO4:0.0008,",,LB
M4-R3-W20-C1-B1,"Glucose:0.3071,Na2HPO4:40.8515,NaCl:8.5774,KH2PO4:13.6785,(NH4)2SO4:17.4959,MgSO4:1.6416,CaCl2:0.1522,FeSO4:0.0168,MnCl2:0.0078,ZnSO4:0.0068,CoCl2:0.0009,CuSO4:0.0007,Na2MoO4:0.0008,",,LB
M5-R1-W5-C1-B1,"Glucose:2.1613,Na2HPO4:48.8187,NaCl:19.1319,KH2PO4:24.1431,(NH4)2SO4:7.1204,MgSO4:2.0278,CaCl2:0.0377,FeSO4:0.0097,MnCl2:0.0025,ZnSO4:0.0086,CoCl2:0.0017,CuSO4:0.0004,Na2MoO4:0.0001,",,LB
M5-R2-W13-C1-B1,"Glucose:2.1613,Na2HPO4:48.8187,NaCl:19.1319,KH2PO4:24.1431,(NH4)2SO4:7.1204,MgSO4:2.0278,CaCl2:0.0377,FeSO4:0.0097,MnCl2:0.0025,ZnSO4:0.0086,CoCl2:0.0017,CuSO4:0.0004,Na2MoO4:0.0001,",,LB
